time,command,current,temperature
2020-03-26 19:17:35.566279,25.0,0.126,24.98
2020-03-26 19:17:35.613233,25.0,0.137,24.982
2020-03-26 19:17:35.661183,25.0,0.129,24.982
2020-03-26 19:17:35.708842,25.0,0.14,24.984
2020-03-26 19:17:35.756791,25.0,0.144,24.984
2020-03-26 19:17:35.804742,25.0,0.139,24.982
2020-03-26 19:17:35.852693,25.0,0.132,24.981
2020-03-26 19:17:35.900643,25.0,0.132,24.982
2020-03-26 19:17:35.948593,25.0,0.138,24.984
2020-03-26 19:17:35.996542,25.0,0.142,24.986
2020-03-26 19:17:36.044492,25.0,0.145,24.982
2020-03-26 19:17:36.091450,25.0,0.126,24.982
2020-03-26 19:17:36.139395,25.0,0.137,24.983
2020-03-26 19:17:36.187346,25.0,0.137,24.982
2020-03-26 19:17:36.235294,25.0,0.132,24.984
2020-03-26 19:17:36.283245,25.0,0.141,24.985
2020-03-26 19:17:36.331196,25.0,0.14,24.986
2020-03-26 19:17:36.378680,25.0,0.141,24.982
2020-03-26 19:17:36.426630,25.0,0.141,24.985
2020-03-26 19:17:36.474580,25.0,0.125,24.989
2020-03-26 19:17:36.522529,25.0,0.145,24.987
2020-03-26 19:17:36.569482,25.0,0.151,24.98
2020-03-26 19:17:36.618430,25.0,0.134,24.979
2020-03-26 19:17:36.665381,25.0,0.113,24.986
2020-03-26 19:17:36.713333,25.0,0.127,24.991
2020-03-26 19:17:36.761283,25.0,0.155,24.988
2020-03-26 19:17:36.809233,25.0,0.157,24.988
2020-03-26 19:17:36.857184,25.0,0.133,24.983
2020-03-26 19:17:36.904702,25.0,0.121,24.981
2020-03-26 19:17:36.952653,25.0,0.126,24.985
2020-03-26 19:17:37.000601,25.0,0.145,24.987
2020-03-26 19:17:37.048552,25.0,0.143,24.988
2020-03-26 19:17:37.095504,25.0,0.143,24.989
2020-03-26 19:17:37.143455,25.0,0.142,24.987
2020-03-26 19:17:37.191404,25.0,0.133,24.985
2020-03-26 19:17:37.239356,25.0,0.13,24.985
2020-03-26 19:17:37.287306,25.0,0.134,24.988
2020-03-26 19:17:37.335255,25.0,0.145,24.988
2020-03-26 19:17:37.383205,25.0,0.137,24.987
2020-03-26 19:17:37.431155,25.0,0.134,24.986
2020-03-26 19:17:37.478704,25.0,0.133,24.988
2020-03-26 19:17:37.526655,25.0,0.142,24.988
2020-03-26 19:17:37.574603,25.0,0.142,24.988
2020-03-26 19:17:37.622554,25.0,0.137,24.984
2020-03-26 19:17:37.669507,25.0,0.137,24.986
2020-03-26 19:17:37.717456,25.0,0.123,24.992
2020-03-26 19:17:37.765407,25.0,0.139,24.99
2020-03-26 19:17:37.813356,25.0,0.157,24.986
2020-03-26 19:17:37.861308,25.0,0.134,24.987
2020-03-26 19:17:37.909256,25.0,0.126,24.987
2020-03-26 19:17:37.957207,25.0,0.138,24.992
2020-03-26 19:17:38.004159,25.0,0.155,24.991
2020-03-26 19:17:38.052109,25.0,0.136,24.987
2020-03-26 19:17:38.100599,25.0,0.125,24.987
2020-03-26 19:17:38.148549,25.0,0.134,24.987
2020-03-26 19:17:38.195502,25.0,0.134,24.991
2020-03-26 19:17:38.243453,25.0,0.149,24.991
2020-03-26 19:17:38.291401,25.0,0.139,24.989
2020-03-26 19:17:38.371320,26.0,0.131,24.999
2020-03-26 19:17:38.419271,26.0,-0.002,25.055
2020-03-26 19:17:38.467220,26.0,-0.044,25.167
2020-03-26 19:17:38.514172,26.0,-0.184,25.339
2020-03-26 19:17:38.562121,26.0,-0.32,25.339
2020-03-26 19:17:38.610668,26.0,-0.456,25.574
2020-03-26 19:17:38.658618,26.0,-0.589,25.872
2020-03-26 19:17:38.705571,26.0,-0.721,26.232
2020-03-26 19:17:38.753522,26.0,-0.851,26.662
2020-03-26 19:17:38.801470,26.0,-0.98,27.158
2020-03-26 19:17:38.849421,26.0,0.99,27.71
2020-03-26 19:17:38.897371,26.0,1.039,28.143
2020-03-26 19:17:38.945321,26.0,0.985,28.051
2020-03-26 19:17:38.993272,26.0,0.99,27.737
2020-03-26 19:17:39.040224,26.0,0.996,27.362
2020-03-26 19:17:39.088174,26.0,0.839,27.008
